what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.dist,"",1415113090668
activated,workbench,org.eclipse.ui.workbench,3.7.1.dist,"",1415113113551
executed,command,org.eclipse.ui,3.7.0.dist,"org.eclipse.ui.file.saveAll",1415113116021
executed,command,org.eclipse.ui,3.7.0.dist,"org.eclipse.ui.file.saveAll",1415113132039
executed,command,org.eclipse.ui,3.7.0.dist,"org.eclipse.ui.file.saveAll",1415113150783
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1415113151621
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.dist,"org.eclipse.ui.edit.text.goto.lineEnd",1415113157482
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.dist,"org.eclipse.ui.edit.text.goto.lineEnd",1415113166716
executed,command,org.eclipse.ui,3.7.0.dist,"org.eclipse.ui.file.saveAll",1415113169384
activated,view,org.eclipse.ui.console,3.5.100.dist,"org.eclipse.ui.console.ConsoleView",1415113177669
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1415113180298
activated,editor,org.eclipse.jdt.ui,3.7.2.dist,"org.eclipse.jdt.ui.CompilationUnitEditor",1415113180369
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.dist,"",1415113182188
activated,workbench,org.eclipse.ui.workbench,3.7.1.dist,"",1415113184399
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.dist,"",1415113184760
activated,workbench,org.eclipse.ui.workbench,3.7.1.dist,"",1415113186929
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.dist,"",1415113187767
activated,workbench,org.eclipse.ui.workbench,3.7.1.dist,"",1415113189512
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.dist,"",1415113189566
activated,workbench,org.eclipse.ui.workbench,3.7.1.dist,"",1415113192508
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.dist,"",1415113195774
activated,workbench,org.eclipse.ui.workbench,3.7.1.dist,"",1415113228610
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1415113229482
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1415113236401
activated,editor,org.eclipse.jdt.ui,3.7.2.dist,"org.eclipse.jdt.ui.CompilationUnitEditor",1415113257179
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.dist,"",1415113258752
activated,workbench,org.eclipse.ui.workbench,3.7.1.dist,"",1415113265685
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.dist,"",1415113266519
activated,workbench,org.eclipse.ui.workbench,3.7.1.dist,"",1415113267860
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.dist,"",1415113268136
activated,workbench,org.eclipse.ui.workbench,3.7.1.dist,"",1415113270168
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.dist,"",1415113270220
activated,workbench,org.eclipse.ui.workbench,3.7.1.dist,"",1415113273511
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.dist,"",1415113273687
activated,workbench,org.eclipse.ui.workbench,3.7.1.dist,"",1415113280572
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.dist,"",1415113280627
activated,workbench,org.eclipse.ui.workbench,3.7.1.dist,"",1415113286511
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.dist,"",1415113286731
activated,workbench,org.eclipse.ui.workbench,3.7.1.dist,"",1415113289350
activated,view,org.eclipse.jdt.ui,3.7.2.dist,"org.eclipse.jdt.ui.PackageExplorer",1415113289394
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.dist,"",1415113290168
activated,workbench,org.eclipse.ui.workbench,3.7.1.dist,"",1415113292527
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.dist,"",1415113292602
activated,workbench,org.eclipse.ui.workbench,3.7.1.dist,"",1415113295697
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1415113296802
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1415113310877
executed,command,org.eclipse.ui,3.7.0.dist,"org.eclipse.ui.edit.text.contentAssist.proposals",1415113327598
executed,command,org.eclipse.ui,3.7.0.dist,"org.eclipse.ui.edit.copy",1415113356552
executed,command,org.eclipse.ui,3.7.0.dist,"org.eclipse.ui.edit.paste",1415113358261
executed,command,org.eclipse.ui,3.7.0.dist,"org.eclipse.ui.file.saveAll",1415113365439
executed,command,,,"AUTOGEN:::org.eclipse.ui.texteditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1415113367340
executed,command,,,"AUTOGEN:::org.eclipse.ui.texteditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1415113367893
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.dist,"",1415113368616
activated,workbench,org.eclipse.ui.workbench,3.7.1.dist,"",1415113369258
executed,command,org.eclipse.ui,3.7.0.dist,"org.eclipse.ui.edit.undo",1415113371995
executed,command,,,"AUTOGEN:::org.eclipse.ui.texteditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1415113373734
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.dist,"",1415113374382
activated,workbench,org.eclipse.ui.workbench,3.7.1.dist,"",1415113375070
executed,command,org.eclipse.ui,3.7.0.dist,"org.eclipse.ui.edit.cut",1415113380810
executed,command,org.eclipse.ui,3.7.0.dist,"org.eclipse.ui.edit.paste",1415113382980
executed,command,org.eclipse.jdt.ui,3.7.2.dist,"org.eclipse.jdt.ui.edit.text.java.format",1415113385109
executed,command,org.eclipse.ui,3.7.0.dist,"org.eclipse.ui.edit.undo",1415113386533
executed,command,org.eclipse.ui,3.7.0.dist,"org.eclipse.ui.edit.undo",1415113389613
executed,command,org.eclipse.ui,3.7.0.dist,"org.eclipse.ui.file.saveAll",1415113396994
executed,command,org.eclipse.ui,3.7.0.dist,"org.eclipse.ui.edit.paste",1415113421234
executed,command,org.eclipse.ui,3.7.0.dist,"org.eclipse.ui.file.saveAll",1415113423014
executed,command,org.eclipse.ui,3.7.0.dist,"org.eclipse.ui.file.saveAll",1415113432006
executed,command,org.eclipse.ui,3.7.0.dist,"org.eclipse.ui.edit.copy",1415113457894
executed,command,org.eclipse.ui,3.7.0.dist,"org.eclipse.ui.edit.paste",1415113459966
executed,command,org.eclipse.ui,3.7.0.dist,"org.eclipse.ui.file.saveAll",1415113463295
executed,command,org.eclipse.jdt.ui,3.7.2.dist,"org.eclipse.jdt.ui.edit.text.java.format",1415113466703
executed,command,org.eclipse.ui,3.7.0.dist,"org.eclipse.ui.file.saveAll",1415113467631
activated,editor,org.eclipse.jdt.ui,3.7.2.dist,"org.eclipse.jdt.ui.CompilationUnitEditor",1415113478242
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.dist,"",1415113479059
activated,workbench,org.eclipse.ui.workbench,3.7.1.dist,"",1415113479455
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.dist,"",1415113479588
activated,workbench,org.eclipse.ui.workbench,3.7.1.dist,"",1415113506955
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.dist,"",1415113510649
opened,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1415113512940
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1415113512978
activated,workbench,org.eclipse.ui.workbench,3.7.1.dist,"",1415113512999
activated,editor,org.eclipse.jdt.ui,3.7.2.dist,"org.eclipse.jdt.ui.CompilationUnitEditor",1415113524169
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.dist,"",1415113525488
activated,workbench,org.eclipse.ui.workbench,3.7.1.dist,"",1415113527836
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.dist,"",1415113528343
activated,workbench,org.eclipse.ui.workbench,3.7.1.dist,"",1415113532819
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1415113536704
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.dist,"",1415113538957
activated,workbench,org.eclipse.ui.workbench,3.7.1.dist,"",1415113539891
activated,editor,org.eclipse.jdt.ui,3.7.2.dist,"org.eclipse.jdt.ui.CompilationUnitEditor",1415113544943
closed,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1415113544944
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1415113545916
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.dist,"",1415113547881
activated,workbench,org.eclipse.ui.workbench,3.7.1.dist,"",1415113549012
activated,view,org.eclipse.jdt.ui,3.7.2.dist,"org.eclipse.jdt.ui.PackageExplorer",1415113562949
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.dist,"",1415113568387
executed,command,org.eclipse.ui,3.7.0.dist,"org.eclipse.ui.newWizard",1415113575070
activated,workbench,org.eclipse.ui.workbench,3.7.1.dist,"",1415113575084
opened,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1415113575285
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1415113575311
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.dist,"",1415113578675
activated,workbench,org.eclipse.ui.workbench,3.7.1.dist,"",1415113578849
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.dist,"",1415113598527
activated,workbench,org.eclipse.ui.workbench,3.7.1.dist,"",1415113671890
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.dist,"",1415113698468
activated,workbench,org.eclipse.ui.workbench,3.7.1.dist,"",1415113699258
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.dist,"",1415113701642
activated,workbench,org.eclipse.ui.workbench,3.7.1.dist,"",1415113704152
executed,command,org.eclipse.ui,3.7.0.dist,"org.eclipse.ui.edit.undo",1415113733649
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.dist,"",1415113733929
activated,workbench,org.eclipse.ui.workbench,3.7.1.dist,"",1415113734529
executed,command,org.eclipse.ui,3.7.0.dist,"org.eclipse.ui.file.saveAll",1415113893588
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.dist,"",1415113896566
activated,workbench,org.eclipse.ui.workbench,3.7.1.dist,"",1415113897004
executed,command,org.eclipse.ui,3.7.0.dist,"org.eclipse.ui.file.saveAll",1415113908949
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.dist,"",1415113910318
activated,workbench,org.eclipse.ui.workbench,3.7.1.dist,"",1415113910671
executed,command,org.eclipse.ui,3.7.0.dist,"org.eclipse.ui.file.saveAll",1415113929648
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.dist,"",1415113931045
activated,workbench,org.eclipse.ui.workbench,3.7.1.dist,"",1415113931785
executed,command,org.eclipse.ui,3.7.0.dist,"org.eclipse.ui.edit.delete",1415113954866
executed,command,org.eclipse.ui,3.7.0.dist,"org.eclipse.ui.file.saveAll",1415113959807
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.dist,"",1415113961727
activated,workbench,org.eclipse.ui.workbench,3.7.1.dist,"",1415113962546
executed,command,org.eclipse.ui,3.7.0.dist,"org.eclipse.ui.edit.copy",1415113969258
executed,command,org.eclipse.ui,3.7.0.dist,"org.eclipse.ui.file.saveAll",1415113973163
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.dist,"",1415113974450
activated,workbench,org.eclipse.ui.workbench,3.7.1.dist,"",1415113975239
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.dist,"",1415113983796
activated,workbench,org.eclipse.ui.workbench,3.7.1.dist,"",1415113983864
executed,command,org.eclipse.ui,3.7.0.dist,"org.eclipse.ui.edit.undo",1415113984530
executed,command,org.eclipse.ui,3.7.0.dist,"org.eclipse.ui.edit.undo",1415113985313
executed,command,org.eclipse.ui,3.7.0.dist,"org.eclipse.ui.edit.undo",1415113991601
executed,command,org.eclipse.ui,3.7.0.dist,"org.eclipse.ui.edit.undo",1415113992442
executed,command,org.eclipse.ui,3.7.0.dist,"org.eclipse.ui.file.saveAll",1415113997016
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.dist,"",1415113998321
activated,workbench,org.eclipse.ui.workbench,3.7.1.dist,"",1415113999110
executed,command,org.eclipse.ui,3.7.0.dist,"org.eclipse.ui.edit.copy",1415114028289
executed,command,org.eclipse.ui,3.7.0.dist,"org.eclipse.ui.file.saveAll",1415114032010
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.dist,"",1415114033304
activated,workbench,org.eclipse.ui.workbench,3.7.1.dist,"",1415114034039
executed,command,org.eclipse.ui,3.7.0.dist,"org.eclipse.ui.edit.paste",1415114053537
no handler,command,org.eclipse.ui.workbench.texteditor,3.7.0.dist,"org.eclipse.ui.edit.text.goto.lineEnd",1415114078451
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.dist,"",1415114095315
activated,workbench,org.eclipse.ui.workbench,3.7.1.dist,"",1415114096458
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1415114101285
executed,command,org.eclipse.ui,3.7.0.dist,"org.eclipse.ui.edit.text.contentAssist.proposals",1415114116685
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.dist,"org.eclipse.ui.edit.text.goto.lineEnd",1415114121457
executed,command,org.eclipse.ui,3.7.0.dist,"org.eclipse.ui.file.saveAll",1415114123027
activated,editor,org.eclipse.jdt.ui,3.7.2.dist,"org.eclipse.jdt.ui.CompilationUnitEditor",1415114126968
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.dist,"",1415114128601
activated,workbench,org.eclipse.ui.workbench,3.7.1.dist,"",1415114130693
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.dist,"",1415114130957
activated,workbench,org.eclipse.ui.workbench,3.7.1.dist,"",1415114132195
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.dist,"",1415114132350
activated,workbench,org.eclipse.ui.workbench,3.7.1.dist,"",1415114140034
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1415114142474
executed,command,org.eclipse.ui,3.7.0.dist,"org.eclipse.ui.edit.text.contentAssist.proposals",1415114235697
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.dist,"",1415114262379
activated,workbench,org.eclipse.ui.workbench,3.7.1.dist,"",1415114262382
executed,command,org.eclipse.ui,3.7.0.dist,"org.eclipse.ui.file.saveAll",1415114269029
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1415114269991
executed,command,,,"AUTOGEN:::org.eclipse.ui.texteditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1415114273091
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.dist,"",1415114273752
activated,workbench,org.eclipse.ui.workbench,3.7.1.dist,"",1415114275059
executed,command,org.eclipse.ui,3.7.0.dist,"org.eclipse.ui.file.saveAll",1415114276855
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.dist,"",1415114277811
activated,workbench,org.eclipse.ui.workbench,3.7.1.dist,"",1415114278300
executed,command,org.eclipse.ui,3.7.0.dist,"org.eclipse.ui.file.saveAll",1415114299659
executed,command,org.eclipse.ui,3.7.0.dist,"org.eclipse.ui.file.saveAll",1415114321475
