what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1415106755671
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1415106755671
started,bundle,org.eclipse.cdt.make.core,7.1.2.201202111925,"org.eclipse.cdt.make.core",1415106755672
started,bundle,org.eclipse.cdt.make.ui,7.1.2.201202111925,"org.eclipse.cdt.make.ui",1415106755672
started,bundle,org.eclipse.cdt.managedbuilder.core,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.core",1415106755673
started,bundle,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui",1415106755704
started,bundle,org.eclipse.epp.usagedata.gathering,1.3.1.R201106061540,"org.eclipse.epp.usagedata.gathering",1415106755705
started,bundle,org.eclipse.epp.usagedata.recording,1.3.1.R201106061540,"org.eclipse.epp.usagedata.recording",1415106755705
started,bundle,org.eclipse.wb.discovery.core,1.3.0.r37x201202052340,"org.eclipse.wb.discovery.core",1415106755706
started,bundle,org.eclipse.wb.discovery.ui,1.3.0.r37x201202052340,"org.eclipse.wb.discovery.ui",1415106755706
os,sysinfo,,,"linux",1415106755709
arch,sysinfo,,,"x86",1415106755709
ws,sysinfo,,,"gtk",1415106755709
locale,sysinfo,,,"es_ES",1415106755709
processors,sysinfo,,,"4",1415106755709
java.runtime.name,sysinfo,,,"OpenJDK Runtime Environment",1415106755709
java.runtime.version,sysinfo,,,"1.6.0_31-b31",1415106755709
java.specification.name,sysinfo,,,"Java Platform API Specification",1415106755709
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1415106755709
java.specification.version,sysinfo,,,"1.6",1415106755709
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1415106755709
java.version,sysinfo,,,"1.6.0_31",1415106755709
java.vm.info,sysinfo,,,"mixed mode, sharing",1415106755709
java.vm.name,sysinfo,,,"OpenJDK Client VM",1415106755709
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1415106755709
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1415106755709
java.vm.specification.version,sysinfo,,,"1.0",1415106755709
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1415106755709
java.vm.version,sysinfo,,,"23.25-b01",1415106755709
opened,view,org.eclipse.ui.ide,3.7.0.dist,"org.eclipse.ui.views.ProblemView",1415106759100
activated,workbench,org.eclipse.ui.workbench,3.7.1.dist,"",1415106761748
opened,editor,org.eclipse.jdt.ui,3.7.2.dist,"org.eclipse.jdt.ui.CompilationUnitEditor",1415106823661
activated,editor,org.eclipse.jdt.ui,3.7.2.dist,"org.eclipse.jdt.ui.CompilationUnitEditor",1415106823696
opened,editor,org.eclipse.jdt.ui,3.7.2.dist,"org.eclipse.jdt.ui.CompilationUnitEditor",1415106826012
activated,editor,org.eclipse.jdt.ui,3.7.2.dist,"org.eclipse.jdt.ui.CompilationUnitEditor",1415106826040
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.dist,"",1415106832441
opened,editor,org.eclipse.jdt.ui,3.7.2.dist,"org.eclipse.jdt.ui.CompilationUnitEditor",1415106833948
activated,editor,org.eclipse.jdt.ui,3.7.2.dist,"org.eclipse.jdt.ui.CompilationUnitEditor",1415106833988
activated,workbench,org.eclipse.ui.workbench,3.7.1.dist,"",1415106834011
started,bundle,org.eclipse.wb.core.lib,1.3.0.r37x201202052311,"org.eclipse.wb.core.lib",1415106839476
started,bundle,org.eclipse.wb.core,1.3.0.r37x201202052311,"org.eclipse.wb.core",1415106839665
started,bundle,org.eclipse.wb.rcp,1.3.0.r37x201202010053,"org.eclipse.wb.rcp",1415106839926
started,bundle,org.eclipse.wb.swt,1.3.0.r37x201202010030,"org.eclipse.wb.swt",1415106839957
started,bundle,org.eclipse.wb.swing,1.3.0.r37x201202021417,"org.eclipse.wb.swing",1415106840029
started,bundle,org.eclipse.wb.rcp.databinding,1.3.0.r37x201202010053,"org.eclipse.wb.rcp.databinding",1415106840902
started,bundle,org.eclipse.wb.swing.databinding,1.3.0.r37x201202021417,"org.eclipse.wb.swing.databinding",1415106840917
started,bundle,org.eclipse.wb.core.xml,1.3.0.r37x201202052344,"org.eclipse.wb.core.xml",1415106841341
opened,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1415106841689
started,bundle,org.eclipse.wb.xwt,1.3.0.r37x201202061752,"org.eclipse.wb.xwt",1415106841770
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1415106841816
opened,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1415106851425
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1415106851468
started,bundle,org.eclipse.wb.runtime.lib,1.3.0.r37x201202052311,"org.eclipse.wb.runtime.lib",1415106853355
started,bundle,org.eclipse.wb.rcp.nebula,1.3.0.r37x201202010053,"org.eclipse.wb.rcp.nebula",1415106853483
started,bundle,org.eclipse.wb.swing.FormLayout,1.3.0.r37x201202021417,"org.eclipse.wb.swing.FormLayout",1415106853546
started,bundle,org.eclipse.pde.core,3.7.1.dist,"org.eclipse.pde.core",1415106853791
started,bundle,org.eclipse.pde,3.7.2.dist,"org.eclipse.pde",1415106854037
started,bundle,org.eclipse.equinox.simpleconfigurator.manipulator,2.0.0.dist,"org.eclipse.equinox.simpleconfigurator.manipulator",1415106854049
started,bundle,org.eclipse.equinox.frameworkadmin,2.0.0.dist,"org.eclipse.equinox.frameworkadmin",1415106854051
started,bundle,org.eclipse.wb.core.databinding,1.3.0.r37x201202052311,"org.eclipse.wb.core.databinding",1415106854558
started,bundle,org.eclipse.wb.rcp.swing2swt,1.3.0.r37x201202010053,"org.eclipse.wb.rcp.swing2swt",1415106854944
started,bundle,org.eclipse.wb.swing.MigLayout.lib,1.3.0.r37x201202021417,"org.eclipse.wb.swing.MigLayout.lib",1415106856339
started,bundle,org.eclipse.wb.swing.MigLayout,1.3.0.r37x201202021417,"org.eclipse.wb.swing.MigLayout",1415106856341
started,bundle,org.eclipse.wb.swing.java6,1.3.0.r37x201202021417,"org.eclipse.wb.swing.java6",1415106856344
started,bundle,org.eclipse.wb.layout.group,1.3.0.r37x201202060028,"org.eclipse.wb.layout.group",1415106856368
started,bundle,org.eclipse.wb.swing.jsr296,1.3.0.r37x201202021417,"org.eclipse.wb.swing.jsr296",1415106856596
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.dist,"",1415106857741
activated,workbench,org.eclipse.ui.workbench,3.7.1.dist,"",1415106859055
activated,editor,org.eclipse.jdt.ui,3.7.2.dist,"org.eclipse.jdt.ui.CompilationUnitEditor",1415107140643
activated,editor,org.eclipse.jdt.ui,3.7.2.dist,"org.eclipse.jdt.ui.CompilationUnitEditor",1415107156579
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.dist,"",1415107170489
opened,editor,org.eclipse.jdt.ui,3.7.2.dist,"org.eclipse.jdt.ui.CompilationUnitEditor",1415107171644
activated,editor,org.eclipse.jdt.ui,3.7.2.dist,"org.eclipse.jdt.ui.CompilationUnitEditor",1415107171678
activated,workbench,org.eclipse.ui.workbench,3.7.1.dist,"",1415107171699
activated,editor,org.eclipse.jdt.ui,3.7.2.dist,"org.eclipse.jdt.ui.CompilationUnitEditor",1415107181480
executed,command,org.eclipse.ui,3.7.0.dist,"org.eclipse.ui.edit.undo",1415107216698
executed,command,org.eclipse.ui,3.7.0.dist,"org.eclipse.ui.edit.undo",1415107217151
executed,command,org.eclipse.ui,3.7.0.dist,"org.eclipse.ui.edit.undo",1415107217841
executed,command,org.eclipse.ui,3.7.0.dist,"org.eclipse.ui.file.saveAll",1415107219405
started,bundle,org.eclipse.pde.api.tools,1.0.301.dist,"org.eclipse.pde.api.tools",1415107244547
started,bundle,org.eclipse.pde.api.tools.ui,1.0.301.dist,"org.eclipse.pde.api.tools.ui",1415107244549
executed,command,org.eclipse.ui,3.7.0.dist,"org.eclipse.ui.edit.text.contentAssist.proposals",1415107244975
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.dist,"",1415107252304
opened,editor,org.eclipse.jdt.ui,3.7.2.dist,"org.eclipse.jdt.ui.CompilationUnitEditor",1415107254396
activated,editor,org.eclipse.jdt.ui,3.7.2.dist,"org.eclipse.jdt.ui.CompilationUnitEditor",1415107254448
activated,workbench,org.eclipse.ui.workbench,3.7.1.dist,"",1415107254465
executed,command,org.eclipse.ui,3.7.0.dist,"org.eclipse.ui.edit.text.contentAssist.proposals",1415107260958
executed,command,org.eclipse.ui,3.7.0.dist,"org.eclipse.ui.file.saveAll",1415107262453
activated,editor,org.eclipse.jdt.ui,3.7.2.dist,"org.eclipse.jdt.ui.CompilationUnitEditor",1415107263604
activated,editor,org.eclipse.jdt.ui,3.7.2.dist,"org.eclipse.jdt.ui.CompilationUnitEditor",1415107265505
executed,command,org.eclipse.ui,3.7.0.dist,"org.eclipse.ui.edit.text.contentAssist.proposals",1415107301768
executed,command,org.eclipse.ui,3.7.0.dist,"org.eclipse.ui.file.saveAll",1415107330635
activated,editor,org.eclipse.jdt.ui,3.7.2.dist,"org.eclipse.jdt.ui.CompilationUnitEditor",1415107333628
executed,command,org.eclipse.ui,3.7.0.dist,"org.eclipse.ui.file.saveAll",1415107349390
