what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.dist,"",1414497473119
activated,workbench,org.eclipse.ui.workbench,3.7.1.dist,"",1414497473977
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1414497482152
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.dist,"",1414497486307
activated,editor,org.eclipse.jdt.ui,3.7.2.dist,"org.eclipse.jdt.ui.CompilationUnitEditor",1414497486452
activated,workbench,org.eclipse.ui.workbench,3.7.1.dist,"",1414497486504
activated,editor,org.eclipse.jdt.ui,3.7.2.dist,"org.eclipse.jdt.ui.CompilationUnitEditor",1414497494535
activated,editor,org.eclipse.jdt.ui,3.7.2.dist,"org.eclipse.jdt.ui.CompilationUnitEditor",1414497527526
activated,editor,org.eclipse.jdt.ui,3.7.2.dist,"org.eclipse.jdt.ui.CompilationUnitEditor",1414497529988
executed,command,org.eclipse.ui,3.7.0.dist,"org.eclipse.ui.file.saveAll",1414497576598
executed,command,org.eclipse.ui,3.7.0.dist,"org.eclipse.ui.edit.copy",1414497580044
started,bundle,org.eclipse.team.ui,3.6.101.dist,"org.eclipse.team.ui",1414497590333
started,bundle,org.eclipse.compare,3.5.202.dist,"org.eclipse.compare",1414497590364
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.dist,"org.eclipse.ui.edit.text.goto.lineEnd",1414497599376
executed,command,org.eclipse.ui,3.7.0.dist,"org.eclipse.ui.file.saveAll",1414497605583
executed,command,org.eclipse.ui,3.7.0.dist,"org.eclipse.ui.file.saveAll",1414497612025
activated,editor,org.eclipse.jdt.ui,3.7.2.dist,"org.eclipse.jdt.ui.CompilationUnitEditor",1414497614095
activated,editor,org.eclipse.jdt.ui,3.7.2.dist,"org.eclipse.jdt.ui.CompilationUnitEditor",1414497623405
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.dist,"org.eclipse.ui.edit.text.goto.lineEnd",1414497682186
executed,command,org.eclipse.ui,3.7.0.dist,"org.eclipse.ui.file.saveAll",1414497684677
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1414497700525
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.dist,"",1414497701191
activated,workbench,org.eclipse.ui.workbench,3.7.1.dist,"",1414497702556
executed,command,org.eclipse.ui,3.7.0.dist,"org.eclipse.ui.file.saveAll",1414497704219
executed,command,org.eclipse.ui,3.7.0.dist,"org.eclipse.ui.edit.text.contentAssist.proposals",1414497719408
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.dist,"org.eclipse.ui.edit.text.goto.lineEnd",1414497725406
error,log,,,"Internal Error",1414497728068
executed,command,org.eclipse.ui,3.7.0.dist,"org.eclipse.ui.file.saveAll",1414497748075
executed,command,org.eclipse.ui,3.7.0.dist,"org.eclipse.ui.file.saveAll",1414497763597
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.dist,"org.eclipse.ui.edit.text.goto.lineEnd",1414497794490
activated,editor,org.eclipse.jdt.ui,3.7.2.dist,"org.eclipse.jdt.ui.CompilationUnitEditor",1414497853959
activated,editor,org.eclipse.jdt.ui,3.7.2.dist,"org.eclipse.jdt.ui.CompilationUnitEditor",1414497961552
activated,editor,org.eclipse.jdt.ui,3.7.2.dist,"org.eclipse.jdt.ui.CompilationUnitEditor",1414497965615
activated,editor,org.eclipse.jdt.ui,3.7.2.dist,"org.eclipse.jdt.ui.CompilationUnitEditor",1414497968357
activated,editor,org.eclipse.jdt.ui,3.7.2.dist,"org.eclipse.jdt.ui.CompilationUnitEditor",1414497995279
executed,command,org.eclipse.ui,3.7.0.dist,"org.eclipse.ui.edit.copy",1414497999720
activated,editor,org.eclipse.jdt.ui,3.7.2.dist,"org.eclipse.jdt.ui.CompilationUnitEditor",1414498000386
executed,command,org.eclipse.ui,3.7.0.dist,"org.eclipse.ui.edit.text.contentAssist.proposals",1414498006549
executed,command,org.eclipse.ui,3.7.0.dist,"org.eclipse.ui.edit.paste",1414498034145
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.dist,"org.eclipse.ui.edit.text.goto.lineEnd",1414498041364
executed,command,org.eclipse.ui,3.7.0.dist,"org.eclipse.ui.file.saveAll",1414498047983
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1414498051098
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.dist,"",1414498052771
activated,workbench,org.eclipse.ui.workbench,3.7.1.dist,"",1414498058065
executed,command,org.eclipse.ui,3.7.0.dist,"org.eclipse.ui.edit.delete",1414498071307
executed,command,org.eclipse.ui,3.7.0.dist,"org.eclipse.ui.edit.delete",1414498071806
executed,command,org.eclipse.ui,3.7.0.dist,"org.eclipse.ui.edit.delete",1414498071836
executed,command,org.eclipse.ui,3.7.0.dist,"org.eclipse.ui.edit.delete",1414498071865
executed,command,org.eclipse.ui,3.7.0.dist,"org.eclipse.ui.edit.delete",1414498071892
executed,command,org.eclipse.ui,3.7.0.dist,"org.eclipse.ui.edit.delete",1414498072087
executed,command,org.eclipse.ui,3.7.0.dist,"org.eclipse.ui.edit.delete",1414498072233
executed,command,org.eclipse.ui,3.7.0.dist,"org.eclipse.ui.edit.delete",1414498072435
executed,command,org.eclipse.ui,3.7.0.dist,"org.eclipse.ui.edit.delete",1414498072690
executed,command,org.eclipse.ui,3.7.0.dist,"org.eclipse.ui.edit.delete",1414498073052
executed,command,org.eclipse.ui,3.7.0.dist,"org.eclipse.ui.edit.delete",1414498073656
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.dist,"org.eclipse.ui.edit.text.goto.lineEnd",1414498079118
executed,command,org.eclipse.ui,3.7.0.dist,"org.eclipse.ui.file.saveAll",1414498141827
executed,command,org.eclipse.ui,3.7.0.dist,"org.eclipse.ui.file.saveAll",1414498156073
activated,editor,org.eclipse.jdt.ui,3.7.2.dist,"org.eclipse.jdt.ui.CompilationUnitEditor",1414498171731
activated,view,org.eclipse.jdt.ui,3.7.2.dist,"org.eclipse.jdt.ui.PackageExplorer",1414498195756
activated,editor,org.eclipse.jdt.ui,3.7.2.dist,"org.eclipse.jdt.ui.CompilationUnitEditor",1414498303992
activated,view,org.eclipse.jdt.ui,3.7.2.dist,"org.eclipse.jdt.ui.PackageExplorer",1414498325562
activated,editor,org.eclipse.jdt.ui,3.7.2.dist,"org.eclipse.jdt.ui.CompilationUnitEditor",1414498329492
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.dist,"",1414498329599
opened,editor,org.eclipse.jdt.ui,3.7.2.dist,"org.eclipse.jdt.ui.CompilationUnitEditor",1414498331095
activated,editor,org.eclipse.jdt.ui,3.7.2.dist,"org.eclipse.jdt.ui.CompilationUnitEditor",1414498331117
activated,workbench,org.eclipse.ui.workbench,3.7.1.dist,"",1414498331133
activated,editor,org.eclipse.jdt.ui,3.7.2.dist,"org.eclipse.jdt.ui.CompilationUnitEditor",1414498342055
activated,editor,org.eclipse.jdt.ui,3.7.2.dist,"org.eclipse.jdt.ui.CompilationUnitEditor",1414498361496
activated,editor,org.eclipse.jdt.ui,3.7.2.dist,"org.eclipse.jdt.ui.CompilationUnitEditor",1414498389091
error,log,,,"Internal Error",1414498395422
error,log,,,"Internal Error",1414498407775
executed,command,org.eclipse.ui,3.7.0.dist,"org.eclipse.ui.file.saveAll",1414498414691
activated,editor,org.eclipse.jdt.ui,3.7.2.dist,"org.eclipse.jdt.ui.CompilationUnitEditor",1414498415861
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.dist,"",1414498424139
activated,workbench,org.eclipse.ui.workbench,3.7.1.dist,"",1414498426840
activated,editor,org.eclipse.jdt.ui,3.7.2.dist,"org.eclipse.jdt.ui.CompilationUnitEditor",1414498430450
executed,command,org.eclipse.ui,3.7.0.dist,"org.eclipse.ui.file.saveAll",1414498449193
activated,editor,org.eclipse.jdt.ui,3.7.2.dist,"org.eclipse.jdt.ui.CompilationUnitEditor",1414498450160
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.dist,"org.eclipse.ui.edit.text.goto.lineEnd",1414498457244
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1414498496251
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.dist,"",1414498496842
activated,workbench,org.eclipse.ui.workbench,3.7.1.dist,"",1414498498263
