what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.200.dist,"org.eclipse.equinox.p2.garbagecollector",1415024832134
error,log,,,"Designer [1.3.0.r37x201202052311.201411031527]: javax.swing.JLabel[,0,0,0x0,invalid,alignmentX=0.0,alignmentY=0.0,border=,flags=8388608,maximumSize=,minimumSize=,preferredSize=,defaultIcon=,disabledIcon=,horizontalAlignment=LEADING,horizontalTextPosition=TRAILING,iconTextGap=4,labelFor=,text=New label,verticalAlignment=CENTER,verticalTextPosition=CENTER] is not attached to a horizontal group",1415024837532
error,log,,,"Designer [1.3.0.r37x201202052311.201411031527]: 1100 (No description).",1415024844652
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.dist,"",1415024844666
activated,workbench,org.eclipse.ui.workbench,3.7.1.dist,"",1415024844669
error,log,,,"Designer [1.3.0.r37x201202052311.201411031527]: 1100 (No description).",1415024849144
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.dist,"",1415024849160
activated,workbench,org.eclipse.ui.workbench,3.7.1.dist,"",1415024849165
executed,command,org.eclipse.ui,3.7.0.dist,"org.eclipse.ui.file.saveAll",1415024859002
error,log,,,"Designer [1.3.0.r37x201202052311.201411031527]: 1100 (No description).",1415024860277
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.dist,"",1415024860287
activated,workbench,org.eclipse.ui.workbench,3.7.1.dist,"",1415024860290
executed,command,org.eclipse.ui,3.7.0.dist,"org.eclipse.ui.file.saveAll",1415024865769
error,log,,,"Designer [1.3.0.r37x201202052311.201411031527]: 1100 (No description).",1415024869989
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.dist,"",1415024870003
activated,workbench,org.eclipse.ui.workbench,3.7.1.dist,"",1415024870008
executed,command,org.eclipse.ui,3.7.0.dist,"org.eclipse.ui.edit.undo",1415024872432
error,log,,,"Designer [1.3.0.r37x201202052311.201411031527]: 1100 (No description).",1415024872572
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.dist,"",1415024872614
activated,workbench,org.eclipse.ui.workbench,3.7.1.dist,"",1415024872616
executed,command,org.eclipse.ui,3.7.0.dist,"org.eclipse.ui.edit.undo",1415024873745
