what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.dist,"",1415120533683
activated,workbench,org.eclipse.ui.workbench,3.7.1.dist,"",1415120535106
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.dist,"",1415120535191
activated,workbench,org.eclipse.ui.workbench,3.7.1.dist,"",1415120544418
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.dist,"",1415120544481
activated,workbench,org.eclipse.ui.workbench,3.7.1.dist,"",1415120551457
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1415120568540
activated,editor,org.eclipse.jdt.ui,3.7.2.dist,"org.eclipse.jdt.ui.CompilationUnitEditor",1415120574755
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.dist,"",1415120576108
activated,workbench,org.eclipse.ui.workbench,3.7.1.dist,"",1415120585565
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.dist,"",1415120585733
activated,workbench,org.eclipse.ui.workbench,3.7.1.dist,"",1415120599930
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1415120602793
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.dist,"",1415120605283
activated,workbench,org.eclipse.ui.workbench,3.7.1.dist,"",1415120606546
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.dist,"",1415120620918
activated,workbench,org.eclipse.ui.workbench,3.7.1.dist,"",1415120625921
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1415120626010
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.dist,"",1415120628163
activated,workbench,org.eclipse.ui.workbench,3.7.1.dist,"",1415120629360
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1415120642923
activated,editor,org.eclipse.jdt.ui,3.7.2.dist,"org.eclipse.jdt.ui.CompilationUnitEditor",1415120686108
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.dist,"",1415120695419
activated,editor,org.eclipse.jdt.ui,3.7.2.dist,"org.eclipse.jdt.ui.CompilationUnitEditor",1415120698992
activated,workbench,org.eclipse.ui.workbench,3.7.1.dist,"",1415120699027
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1415120828613
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1415120849555
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1415120858829
