what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.cdt.make.ui,7.1.2.201202111925,"org.eclipse.cdt.make.ui",1414502598346
started,bundle,org.eclipse.cdt.managedbuilder.core,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.core",1414502598346
started,bundle,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui",1414502598387
started,bundle,org.eclipse.epp.usagedata.gathering,1.3.1.R201106061540,"org.eclipse.epp.usagedata.gathering",1414502598387
started,bundle,org.eclipse.epp.usagedata.recording,1.3.1.R201106061540,"org.eclipse.epp.usagedata.recording",1414502598388
started,bundle,org.eclipse.wb.discovery.core,1.3.0.r37x201202052340,"org.eclipse.wb.discovery.core",1414502598389
started,bundle,org.eclipse.wb.discovery.ui,1.3.0.r37x201202052340,"org.eclipse.wb.discovery.ui",1414502598389
os,sysinfo,,,"linux",1414502598394
arch,sysinfo,,,"x86",1414502598394
ws,sysinfo,,,"gtk",1414502598394
locale,sysinfo,,,"es_ES",1414502598394
processors,sysinfo,,,"4",1414502598394
java.runtime.name,sysinfo,,,"OpenJDK Runtime Environment",1414502598394
java.runtime.version,sysinfo,,,"1.6.0_31-b31",1414502598394
java.specification.name,sysinfo,,,"Java Platform API Specification",1414502598394
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1414502598394
java.specification.version,sysinfo,,,"1.6",1414502598394
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1414502598394
java.version,sysinfo,,,"1.6.0_31",1414502598394
java.vm.info,sysinfo,,,"mixed mode, sharing",1414502598394
java.vm.name,sysinfo,,,"OpenJDK Client VM",1414502598394
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1414502598394
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1414502598394
java.vm.specification.version,sysinfo,,,"1.0",1414502598394
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1414502598394
java.vm.version,sysinfo,,,"23.25-b01",1414502598394
activated,workbench,org.eclipse.ui.workbench,3.7.1.dist,"",1414502599547
opened,view,org.eclipse.ui.ide,3.7.0.dist,"org.eclipse.ui.views.ProblemView",1414502601889
started,bundle,org.eclipse.pde.launching,3.6.0.dist,"org.eclipse.pde.launching",1414502612245
started,bundle,org.eclipse.ui.views.log,1.0.200.dist,"org.eclipse.ui.views.log",1414502612254
started,bundle,org.eclipse.pde.ui,3.6.100.dist,"org.eclipse.pde.ui",1414502612265
started,bundle,org.eclipse.wb.core.lib,1.3.0.r37x201202052311,"org.eclipse.wb.core.lib",1414502617812
started,bundle,org.eclipse.wb.core,1.3.0.r37x201202052311,"org.eclipse.wb.core",1414502617963
executed,command,org.eclipse.ui,3.7.0.dist,"org.eclipse.ui.file.saveAll",1414502618152
opened,editor,org.eclipse.jdt.ui,3.7.2.dist,"org.eclipse.jdt.ui.CompilationUnitEditor",1414502619328
activated,editor,org.eclipse.jdt.ui,3.7.2.dist,"org.eclipse.jdt.ui.CompilationUnitEditor",1414502619356
executed,command,org.eclipse.ui,3.7.0.dist,"org.eclipse.ui.edit.undo",1414502657181
executed,command,org.eclipse.ui,3.7.0.dist,"org.eclipse.ui.edit.undo",1414502657770
executed,command,org.eclipse.ui,3.7.0.dist,"org.eclipse.ui.file.saveAll",1414502674732
opened,editor,org.eclipse.jdt.ui,3.7.2.dist,"org.eclipse.jdt.ui.CompilationUnitEditor",1414502678799
activated,editor,org.eclipse.jdt.ui,3.7.2.dist,"org.eclipse.jdt.ui.CompilationUnitEditor",1414502678823
executed,command,org.eclipse.ui,3.7.0.dist,"org.eclipse.ui.file.saveAll",1414502724004
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.dist,"",1414502725292
activated,workbench,org.eclipse.ui.workbench,3.7.1.dist,"",1414502726382
executed,command,org.eclipse.ui,3.7.0.dist,"org.eclipse.ui.file.saveAll",1414502731673
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.dist,"",1414502733981
opened,editor,org.eclipse.jdt.ui,3.7.2.dist,"org.eclipse.jdt.ui.CompilationUnitEditor",1414502735008
activated,editor,org.eclipse.jdt.ui,3.7.2.dist,"org.eclipse.jdt.ui.CompilationUnitEditor",1414502735031
activated,workbench,org.eclipse.ui.workbench,3.7.1.dist,"",1414502735046
executed,command,org.eclipse.ui,3.7.0.dist,"org.eclipse.ui.file.saveAll",1414502743459
activated,editor,org.eclipse.jdt.ui,3.7.2.dist,"org.eclipse.jdt.ui.CompilationUnitEditor",1414502746587
activated,editor,org.eclipse.jdt.ui,3.7.2.dist,"org.eclipse.jdt.ui.CompilationUnitEditor",1414502754810
activated,editor,org.eclipse.jdt.ui,3.7.2.dist,"org.eclipse.jdt.ui.CompilationUnitEditor",1414502756115
