what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.7.2.dist,"org.eclipse.jdt.ui.CompilationUnitEditor",1415022830841
activated,editor,org.eclipse.jdt.ui,3.7.2.dist,"org.eclipse.jdt.ui.CompilationUnitEditor",1415022842262
activated,editor,org.eclipse.jdt.ui,3.7.2.dist,"org.eclipse.jdt.ui.CompilationUnitEditor",1415022851949
activated,editor,org.eclipse.jdt.ui,3.7.2.dist,"org.eclipse.jdt.ui.CompilationUnitEditor",1415022852426
activated,editor,org.eclipse.jdt.ui,3.7.2.dist,"org.eclipse.jdt.ui.CompilationUnitEditor",1415022853523
activated,editor,org.eclipse.jdt.ui,3.7.2.dist,"org.eclipse.jdt.ui.CompilationUnitEditor",1415022854420
activated,editor,org.eclipse.jdt.ui,3.7.2.dist,"org.eclipse.jdt.ui.CompilationUnitEditor",1415022859808
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.dist,"",1415022875443
activated,workbench,org.eclipse.ui.workbench,3.7.1.dist,"",1415022904315
activated,editor,org.eclipse.jdt.ui,3.7.2.dist,"org.eclipse.jdt.ui.CompilationUnitEditor",1415022910568
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.dist,"",1415022915472
activated,workbench,org.eclipse.ui.workbench,3.7.1.dist,"",1415022972743
activated,editor,org.eclipse.jdt.ui,3.7.2.dist,"org.eclipse.jdt.ui.CompilationUnitEditor",1415022976340
executed,command,org.eclipse.ui,3.7.0.dist,"org.eclipse.ui.edit.text.contentAssist.proposals",1415023093268
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.dist,"org.eclipse.ui.edit.text.deletePreviousWord",1415023093274
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.dist,"",1415023097806
activated,workbench,org.eclipse.ui.workbench,3.7.1.dist,"",1415023098292
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.dist,"",1415023108178
activated,workbench,org.eclipse.ui.workbench,3.7.1.dist,"",1415023128894
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.dist,"",1415023163503
activated,workbench,org.eclipse.ui.workbench,3.7.1.dist,"",1415023185086
executed,command,org.eclipse.ui,3.7.0.dist,"org.eclipse.ui.file.saveAll",1415023196729
activated,editor,org.eclipse.jdt.ui,3.7.2.dist,"org.eclipse.jdt.ui.CompilationUnitEditor",1415023199024
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.dist,"",1415023241454
activated,workbench,org.eclipse.ui.workbench,3.7.1.dist,"",1415023271418
activated,editor,org.eclipse.jdt.ui,3.7.2.dist,"org.eclipse.jdt.ui.CompilationUnitEditor",1415023320869
activated,editor,org.eclipse.jdt.ui,3.7.2.dist,"org.eclipse.jdt.ui.CompilationUnitEditor",1415023324554
executed,command,org.eclipse.ui,3.7.0.dist,"org.eclipse.ui.edit.text.contentAssist.proposals",1415023362404
executed,command,org.eclipse.ui,3.7.0.dist,"org.eclipse.ui.edit.text.contentAssist.proposals",1415023364166
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.dist,"org.eclipse.ui.edit.text.goto.lineEnd",1415023372411
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.dist,"org.eclipse.ui.edit.text.goto.lineEnd",1415023378421
executed,command,org.eclipse.ui,3.7.0.dist,"org.eclipse.ui.file.saveAll",1415023379930
executed,command,org.eclipse.ui,3.7.0.dist,"org.eclipse.ui.file.saveAll",1415023405903
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1415023408844
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.dist,"",1415023409482
activated,workbench,org.eclipse.ui.workbench,3.7.1.dist,"",1415023410341
executed,command,org.eclipse.ui,3.7.0.dist,"org.eclipse.ui.file.saveAll",1415023415678
executed,command,org.eclipse.ui,3.7.0.dist,"org.eclipse.ui.file.saveAll",1415023449804
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.dist,"",1415023452986
activated,workbench,org.eclipse.ui.workbench,3.7.1.dist,"",1415023484938
activated,editor,org.eclipse.jdt.ui,3.7.2.dist,"org.eclipse.jdt.ui.CompilationUnitEditor",1415023487005
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.dist,"",1415023495046
opened,editor,org.eclipse.jdt.ui,3.7.2.dist,"org.eclipse.jdt.ui.CompilationUnitEditor",1415023496300
activated,editor,org.eclipse.jdt.ui,3.7.2.dist,"org.eclipse.jdt.ui.CompilationUnitEditor",1415023496319
activated,workbench,org.eclipse.ui.workbench,3.7.1.dist,"",1415023496333
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.dist,"",1415023497421
opened,editor,org.eclipse.jdt.ui,3.7.2.dist,"org.eclipse.jdt.ui.CompilationUnitEditor",1415023498559
activated,editor,org.eclipse.jdt.ui,3.7.2.dist,"org.eclipse.jdt.ui.CompilationUnitEditor",1415023498580
